s	score
50	333.3646651941384
55	327.8719262151
60	403.8217428519668
65	824.8830220097877
70	380.98818879330105
75	333.07656777383784
80	610.2589614253935
85	778.9377382050507
90	1356.8714014231416
95	634.5770244816621
100	840.0428560496184
105	2680.0
110	2524.0146592284286
115	1242.3767544509194
120	704.7950056576735
125	720.0
130	1986.016112724164
135	1884.9551718807534
140	1329.3366766925526
145	807.6242938396542
150	3226.96839154027
155	1791.0153544847126
160	2560.1796811942713
165	1784.7478813546747
170	4898.640831904294
175	4598.568472905454
180	2217.8036432470753
185	2654.154102534365
190	6695.2793817734
195	11030.09882095351
200	665.0616512775339
205	1923.2618126505813
210	1236.1347013978695
215	8796.553302288345
220	9051.921343007794
225	25141.434803924774
230	3438.7887402397955
235	9933.715468041151
240	3023.428517428517
245	5243.510274615661
250	3311.5458625844212
255	2442.368522561655
260	85517.24854671133
265	2878.7622340165576
270	3505.6708345194074
275	5569.601242458924
280	4337.135575469137
285	1495.0
290	4760.4856895069015
295	4660.0
300	1520.526224699857
305	4422.478603679163
310	4183.735412284099
315	890.2673755675876
320	2685.802673317606
325	3361.6402246522457
330	6883.006029345027
335	187366.95583800256
340	2651.059788084757
345	1270.572311991726
350	276631.8440617421
355	24166.466766989335
360	1714.8177745754795
365	11299.380248491509
370	1246.1845770189902
375	148104.1795493969
380	89363.6581838501
385	2883.997226073562
390	15388.94733242011
395	2328.6717243956905
400	33201.41135554331
405	3726.9547891006137
410	2348.1192473977976
415	3069.3321749201405
420	2252.953173059751
425	586.8986283848344
430	2074.8358971253606
435	1583.7386147972777
440	9875.032151846393
445	20744.258121224775
450	302491.97518281377
455	31439.833412408534
460	3137.1165104280076
465	2183.9613091810943
470	5046.127227884766
475	3135.5611937897174
480	4874.847689928373
485	160922.60518646843
490	12515.968680050297
495	15588.76672479257
500	5064.398088618232
