s	score
50	3806.6034729138782
55	3923.195763660029
60	3246.5212150854645
65	9520.485701895675
70	5114.205705679035
75	4306.248018867469
80	5045.679438886304
85	8291.331376805538
90	6744.605844673208
95	5879.125955446098
100	8333.193265489526
105	20250.437032321057
110	18722.873711051943
115	6454.7061900600875
120	5390.514632203496
125	7125.0
130	12739.711338958981
135	8306.351365069984
140	6095.18104735208
145	5892.176423020614
150	31404.26085740596
155	9587.847307920585
160	8523.98404503434
165	5541.294794540352
170	53581.53894766368
175	31612.616785074908
180	11313.697185270603
185	10400.309130021087
190	134632.13800575255
195	91198.13919154271
200	5092.226232209248
205	10085.062518398187
210	6486.24698882181
215	35912.071285293474
220	202605.76719333534
225	55560.08743693624
230	18072.346167556665
235	91766.04112633388
240	13678.111053796865
245	65850.9628023767
250	29008.602965327373
255	21566.7568261897
260	220272.32772184527
265	12187.526410227794
270	21556.0
275	80953.97072410965
280	17143.16394368321
285	8586.501033599194
290	27437.125505416927
295	25746.771661705472
300	7687.426812659747
305	17174.78337563534
310	12570.757733724726
315	5433.200161967163
320	7698.863617443812
325	20493.901531919197
330	95116.12311800772
335	544234.6556403772
340	9029.152784176376
345	6003.518968071975
350	516737.78103405604
355	237927.99540197031
360	5593.317441375913
365	78025.84351354364
370	6644.633624211346
375	812685.9464590242
380	564724.5412588336
385	8731.735222737803
390	67356.9099870236
395	8874.715995455856
400	420759.90315618244
405	11982.606143907093
410	10924.830662303191
415	8486.793210630267
420	8335.226031728234
425	5268.898556624525
430	638484.1702571802
435	6933.44164178224
440	48139.20329627403
445	120455.61489195927
450	665872.6403209551
455	161876.83590619132
460	14101.616325797551
465	5932.79782227576
470	18712.397067185164
475	342891.2303850887
480	801384.7329516578
485	1176564.031406706
490	528693.139661373
495	1089485.858389635
500	23996.595029295302
