s	score
50	15612.73377727296
55	20072.867981432053
60	16007.249107826116
65	34886.10704850858
70	26891.616667653136
75	29914.75675983343
80	32221.987524049477
85	59296.67258792857
90	45492.989569822734
95	66627.36975147676
100	75755.02683650768
105	96193.46892590993
110	127134.03468780497
115	71558.79814530147
120	87806.51171752582
125	87938.0217710178
130	129105.68743475246
135	97599.66229449773
140	104621.7562842452
145	132403.26246735765
150	212745.0
155	168777.95889274168
160	159457.4176167418
165	135785.58224274035
170	264295.51460439124
175	323742.52591836004
180	208153.03170504147
185	169305.99073866228
190	505827.4217082344
195	510495.85331028886
200	126568.32305122796
205	220077.9905760683
210	147926.98139622805
215	455364.53166666377
220	677362.5277943857
225	499850.2435730126
230	230005.35385073104
235	551820.9825948991
240	207228.47143913407
245	577089.734054419
250	328100.0733389129
255	436500.7934700692
260	861301.0766137472
265	397399.316536906
270	306970.1236798135
275	800767.9385627274
280	248704.66857499882
285	119575.09412917057
290	449629.30390600656
295	452250.01260807057
300	143753.4242966059
305	359074.8199442562
310	318575.2464960201
315	66055.92221746662
320	227170.5330891311
325	388472.6448168519
330	381002.017317494
335	1723031.975907586
340	236947.60166754166
345	105816.90815743957
350	1690616.0633002988
355	1116941.7295790322
360	117056.92835112324
365	749691.8857003856
370	117880.4460120507
375	2145162.4692081017
380	2051318.5766006703
385	109351.95976295989
390	1039873.643524058
395	151561.30918542502
400	1575088.0935363586
405	177487.05542095174
410	86505.74530052903
415	138826.66087607236
420	57118.49189185583
425	18881.0847146026
430	2167092.0984185236
435	120416.76966270104
440	658999.7198239161
445	697218.6910145194
450	2383088.7345627733
455	1455516.02730578
460	263230.4213517123
465	72823.09202443961
470	179944.3877980083
475	2415753.581350962
480	2907751.1355547607
485	2951713.751064625
490	2344827.7187614446
495	2966738.995605781
500	271772.90087865636
