s	score
50	14799.662158306182
55	20488.350348429714
60	20189.405340425456
65	37443.46137845698
70	34312.10940761293
75	36393.67546703685
80	39711.28444157907
85	57784.00574553481
90	56356.94278436332
95	64441.775270394275
100	100753.15232785522
105	122387.51948217597
110	145506.1280084107
115	93086.59020503437
120	4419.1238950724155
125	6490.402761000275
130	171340.0
135	92488.21884434795
140	126393.78949932627
145	104445.30267082383
150	290341.1605060502
155	193794.84513268148
160	179183.35497472974
165	5471.871709022425
170	328881.79275235045
175	380046.57967149233
180	311955.51221287943
185	286879.05721052556
190	619486.02859548
195	615208.0881522933
200	123121.76840835255
205	344968.0041685026
210	145401.49001987567
215	582440.1109264367
220	871382.099024303
225	712903.120068218
230	479699.66737532767
235	790726.1637254708
240	551506.3879793234
245	805346.9552931829
250	685869.0
255	657244.9820926745
260	1178089.5669090701
265	613946.4558045758
270	813498.3557746137
275	1206398.2990372623
280	638150.7675150129
285	120531.20997069599
290	757674.9322268752
295	902896.367661317
300	211021.1856662738
305	789138.0107433681
310	757994.36934848
315	80663.93176631053
320	265785.5011564777
325	911004.1282716561
330	1708402.9767944096
335	2065555.9153777463
340	194282.43049745902
345	4756.528145612091
350	2214707.90308519
355	2204869.837515358
360	4599.755645683801
365	1789483.7185973502
370	114240.55486122254
375	3118751.686688281
380	2936329.542392168
385	208481.75417527548
390	1869961.5751988061
395	14687.739410814722
400	2415111.1857585358
405	735998.3422345461
410	216884.1599402778
415	284832.13332592935
420	160746.67119414944
425	1999337.5835010954
430	3785770.3978175963
435	91614.1618583066
440	2350513.2977458346
445	2771668.8002544604
450	3576728.738834971
455	2642799.5308547337
460	1556437.4044647603
465	3696.757498132654
470	1142196.6902420965
475	3835759.189864896
480	4013757.3254402163
485	3815213.1130053536
490	4597455.286616391
495	3921450.461653188
500	2075140.9760476514
