s	score
50	17207.571734559177
55	18843.812777673207
60	22064.611666648474
65	32022.430295029135
70	37132.35311692487
75	41748.44498900528
80	41188.67368585689
85	64177.19757826763
90	68712.79845851136
95	65678.79981394301
100	102286.63530002344
105	136387.14225688577
110	154859.84682931856
115	95545.92452846955
120	106234.88548965448
125	124566.37517805518
130	192276.68097821952
135	154612.57141642785
140	128178.2288300162
145	162269.99722684413
150	323288.43062349135
155	228970.94301679416
160	208777.9759553196
165	196956.79722974784
170	387560.755293928
175	351804.1240846957
180	314559.16324278334
185	279835.01403326925
190	583604.7308384331
195	619435.5949257356
200	204606.51027521095
205	382717.22596454946
210	306432.1306390699
215	638714.4678117132
220	841566.1300789142
225	746605.9006591095
230	500712.76168278354
235	800243.9755049706
240	521344.3515834808
245	870480.0
250	648555.3482224937
255	613949.6398321282
260	1175810.8053169097
265	613201.3456736702
270	797319.6261851329
275	1150658.4729775381
280	571196.3899045581
285	465002.419847467
290	825524.1802339893
295	938976.2851302476
300	406857.0406420418
305	879761.4693574617
310	731131.9758292616
315	401045.82936118415
320	652545.6087508367
325	976543.9020914524
330	1808440.6058886754
335	2103656.9312033746
340	491099.47970039636
345	359544.18605089415
350	1832298.1058154812
355	2036986.7722182192
360	437733.1453751246
365	1671406.1783444502
370	514635.5604036705
375	2860271.6862256285
380	2629672.4000481507
385	884734.9238749422
390	1779578.0414626384
395	577527.336149554
400	2321075.093927596
405	954077.4969110213
410	808827.3050379792
415	623960.9187280883
420	445142.2378566204
425	2051804.839062429
430	3457272.271665048
435	666465.2449115408
440	2163457.5348187448
445	2730189.901617102
450	3888045.643542781
455	2428553.8305543074
460	1245763.863441222
465	3544.7813754870695
470	1691896.1791126544
475	4048647.1871185564
480	3922801.243748146
485	3299091.8886869457
490	4529786.535672514
495	3926924.214891344
500	1697855.8203098401
