s	score
50	17207.571734559177
55	18843.812777673207
60	20997.16780901653
65	32022.430295029135
70	37132.35311692487
75	41748.44498900528
80	41188.67368585689
85	64177.19757826763
90	68712.79845851136
95	65678.79981394301
100	102286.63530002344
105	136387.14225688577
110	154859.84682931856
115	95550.48487056463
120	105043.7716763826
125	139148.8504300341
130	194493.84459411562
135	145347.673665594
140	128178.2288300162
145	162269.99722684413
150	323288.43062349135
155	228970.94301679416
160	208777.9759553196
165	196956.79722974784
170	387560.755293928
175	351804.1240846957
180	314559.16324278334
185	305085.29519463895
190	587767.7070408002
195	625233.3187346944
200	204606.51027521095
205	382013.93063604366
210	306432.1306390699
215	639172.1974178789
220	843490.2606770276
225	746605.9006591095
230	500712.76168278354
235	800243.9755049706
240	520172.9912404142
245	870480.0
250	648555.3482224937
255	613949.6398321282
260	1174365.7624437115
265	610831.4277179916
270	797319.6261851329
275	1150658.4729775381
280	571196.3899045581
285	465002.419847467
290	825524.1802339893
295	938976.2851302476
300	406857.0406420418
305	879761.4693574617
310	731131.9758292616
315	397529.7818000558
320	647134.0680260931
325	976543.9020914524
330	1812787.1108599599
335	2103656.9312033746
340	492509.9442285404
345	466417.16448368406
350	1836621.2712979233
355	2135638.3305466305
360	440723.4088178208
365	1671406.1783444502
370	508111.4414653542
375	2860271.6862256285
380	2688299.382434925
385	810771.1776426195
390	1779578.0414626384
395	490594.534926756
400	2315234.8582245386
405	959992.4148330548
410	772634.9539012585
415	612654.5024138809
420	439683.05027599144
425	2051804.839062429
430	3457272.271665048
435	666465.2449115408
440	2134696.19641578
445	2730189.901617102
450	3793016.0763508505
455	2428553.8305543074
460	1263547.1383616838
465	3544.7813754870695
470	1678809.8881141962
475	4048647.1871185564
480	4014384.7537511894
485	3473534.5162171633
490	4766568.541944089
495	4023960.8730689716
500	1697855.8203098401
