s	score
50	21248.028685033347
55	21639.062179308974
60	29530.261631079396
65	50062.31750528535
70	42518.41718596777
75	44234.84834381147
80	52098.754572446356
85	93107.87479585173
90	86302.81238175265
95	94483.68064380219
100	115524.5428469639
105	165684.85198110295
110	181629.5263221264
115	139484.65677270744
120	155126.58133279416
125	184963.13852765365
130	221285.2268363164
135	201575.00358923475
140	186401.5898215463
145	213783.0845693831
150	366526.57220043405
155	285353.8348016371
160	276501.3936167411
165	288148.5375843508
170	478250.73169625155
175	500139.1905219986
180	454944.665996866
185	408585.9637518156
190	781764.818533042
195	831955.3982035335
200	362054.89078038983
205	550047.2702304776
210	441304.27672298846
215	885845.6187440337
220	1123849.9721937978
225	918420.7754891001
230	743524.1992800235
235	1106897.7328660493
240	812547.7757990604
245	1095322.637399593
250	955476.7093760056
255	969152.2957347828
260	1535698.7164688262
265	920851.54199089
270	1158668.052163345
275	1632072.6047379144
280	1001974.1314026027
285	745477.2289815431
290	1245472.5675597996
295	1298397.5889071885
300	727576.8551342188
305	1404047.880085291
310	1213719.3859076323
315	815769.3049281765
320	988900.1848720629
325	1452338.0062161838
330	2560584.3958053794
335	2919917.300778911
340	988275.1343492358
345	846979.5580177836
350	2763851.2445318033
355	2921783.0087807686
360	1011379.8492198666
365	2307389.280991398
370	901477.5267747943
375	3747856.657378454
380	3792773.0929888226
385	1355949.4177390984
390	2608822.5412127976
395	1288004.577078824
400	3326387.252816485
405	1478806.5390712877
410	1316305.0873566507
415	1417916.2034478623
420	990911.5289247571
425	3111489.227180933
430	4498882.593616998
435	1181249.4739363908
440	3210984.247037347
445	4421454.609418149
450	4873571.274260386
455	4200609.081835633
460	2427513.262387046
465	5204.30590953299
470	2912363.400397519
475	5210773.478388309
480	5824374.983350918
485	5337630.9767336855
490	5956737.767762821
495	5819698.979436135
500	3716534.885798598
