s	score
50	20451.580281239883
55	27432.156313348754
60	29446.833242302982
65	47061.84441774462
70	52053.08947603399
75	45590.80525720071
80	65462.91864101386
85	81098.0
90	84385.89364342835
95	90283.35547042987
100	114391.22847491411
105	158653.67074228066
110	169767.61022056005
115	130568.7059137832
120	147648.98504222778
125	135407.01225564355
130	197392.44291512275
135	168925.43233036285
140	184336.26528711055
145	203558.62251449827
150	314803.20000914857
155	283237.0724093158
160	255489.2454253212
165	270425.8824077311
170	410835.7459472094
175	436986.08187790145
180	399582.38981466636
185	370683.4281310671
190	627228.5844506769
195	684769.5639855791
200	353604.51577291824
205	445146.4379280149
210	364962.8731021828
215	723265.2837348133
220	983303.8062389466
225	836478.4287971806
230	595796.9812746621
235	919411.9058876712
240	639488.0522957407
245	952351.8959728068
250	819934.9047332965
255	827355.3515479306
260	1259033.584114419
265	744547.7702229724
270	921536.5163323698
275	1285306.8499004429
280	803609.2870443944
285	537793.2779126195
290	1082135.4898398814
295	1200784.1582915725
300	529006.8546181609
305	1134685.4029765255
310	1034699.7815463189
315	611801.9614221583
320	762750.2363814776
325	1202471.2811539408
330	1948816.8807604783
335	2287468.6391292885
340	824077.6689050614
345	530707.0254858136
350	2293380.7504915097
355	2418923.622572238
360	604967.3065414361
365	1847396.1770494708
370	638286.250054002
375	3265855.47118301
380	3035730.352881988
385	847232.0538624587
390	2123118.809711788
395	765054.2933831558
400	2802290.808469742
405	1078916.935130782
410	794038.3641096947
415	857323.5150017758
420	685656.9382475467
425	2180105.136327145
430	3902709.846610942
435	957090.6276252004
440	2480564.4299179167
445	3128378.351332524
450	4122794.0270161447
455	3050872.2106350176
460	1685715.3450651153
465	738831.179721051
470	1949523.522556217
475	4508511.2888828395
480	4186769.351910611
485	4166035.6383482846
490	4491805.328976758
495	4966066.169618061
500	2624035.422616852
