s	score
50	19989.05860714806
55	28032.90666341969
60	25038.0
65	50614.38297559301
70	40646.680061230094
75	49580.09303137702
80	54467.72644419813
85	78220.35449293234
90	88110.28437134907
95	83452.11180671224
100	125968.57354515055
105	172417.1988955858
110	178703.4227428227
115	126250.18361966846
120	143074.30845193696
125	156684.50276909966
130	220333.58984957333
135	194058.52675932588
140	171396.63470733608
145	198545.95069655788
150	359905.903952686
155	226208.91985728592
160	303462.25437770673
165	292461.1250474155
170	430603.55248882936
175	480648.9365347644
180	367666.5825513654
185	377077.5797657559
190	719443.9233963965
195	760923.8628141452
200	288765.3707250923
205	398083.6622570688
210	419283.01909330883
215	748993.7597924299
220	1041099.4932281929
225	890340.3732635065
230	670976.2165829726
235	974008.4900287061
240	757347.2756483647
245	1047603.7571066648
250	849084.5284622727
255	897034.8360431718
260	1326122.152123627
265	832118.8295814486
270	983414.3700460148
275	1401655.3459392218
280	947474.7809440629
285	501498.7920743179
290	1111479.2082553771
295	1223663.353704768
300	602203.8672966157
305	1025658.4889655036
310	1039560.6949091525
315	689380.0601003774
320	754837.5729148623
325	1279041.5259623122
330	2174164.0400163
335	2437461.2987614796
340	894585.5194803904
345	627479.455275629
350	2393543.8452637545
355	2660641.7694796873
360	717101.9686264988
365	2025723.5643028887
370	752444.1207159506
375	3359237.2926069093
380	3252295.7444857317
385	1169008.5379876401
390	2519438.937541452
395	868356.6892746321
400	3078493.656787358
405	1399295.8534205696
410	1107006.6604027275
415	1147296.5872968507
420	856251.1122515403
425	2511859.2897095173
430	4203635.145480635
435	1169308.6088394285
440	2696912.537966702
445	3480441.6627025944
450	4274470.291944254
455	3440770.6985899247
460	2010069.6884038625
465	920029.401408455
470	2151611.0801359992
475	4749078.835162878
480	4712652.851547629
485	4800734.64618229
490	4906941.904524141
495	5366309.566431665
500	2596754.968160839
