s	score
50	18129.7086573392
55	30057.000499051795
60	26161.99533674754
65	43359.034594879995
70	40655.17275821123
75	52524.24674376588
80	57358.51392775095
85	82073.53785477996
90	79115.0052012891
95	83039.34729993969
100	121469.45882813506
105	156668.88410912998
110	179205.04080521842
115	135773.45513759306
120	148402.77815795765
125	180893.35151961775
130	205580.66025771975
135	184666.3683511429
140	173714.85859304032
145	201095.1842088716
150	352036.72535688657
155	277567.88471291127
160	318822.7887996716
165	296332.96238521964
170	456035.20527257543
175	484751.9962867611
180	404633.81067330495
185	399607.44035865995
190	699031.4533681585
195	740354.9795638577
200	327583.61959047953
205	496442.25121155835
210	390038.07631435164
215	788184.54268274
220	1040823.8159746345
225	858444.0737974722
230	703945.7435768754
235	1046087.0049188068
240	752564.4177716617
245	1075627.179892736
250	937602.8728966225
255	880389.6401026082
260	1324589.1904001783
265	805486.1298414766
270	1051629.040943621
275	1412226.1188485362
280	914829.1728131543
285	678744.2522776896
290	1152934.8895267243
295	1209688.8550623257
300	595056.3098354642
305	1271853.9302168312
310	997082.537829241
315	699497.8907259121
320	729811.7962488686
325	1352186.3069333308
330	2225253.5204724427
335	2531800.4106465424
340	945812.8478737217
345	734505.8117217317
350	2389409.761603062
355	2540876.280352902
360	752476.5642862241
365	2251649.666744363
370	736702.4132334575
375	3349445.3085548356
380	3593029.2091981387
385	1077987.505738355
390	2304804.097461214
395	1018702.2693893441
400	3001609.0618306706
405	1437544.1283953686
410	1114192.0887925923
415	1188080.2165960849
420	931809.7226011328
425	2643907.408901454
430	4317999.437784123
435	1107267.439453992
440	3020742.069306812
445	3519689.9953275714
450	4570217.485275728
455	3848118.839553945
460	1662247.7566701663
465	904490.0324226907
470	1980877.5147827794
475	5337928.363272122
480	4793663.0128952535
485	4907642.654752076
490	5192448.511618772
495	5193722.806783397
500	2889973.273842338
