s	score
50	20956.446716941307
55	22755.57777776693
60	28245.94045168261
65	51203.5998734464
70	40213.53113070276
75	47729.972679648585
80	57581.938730820795
85	78259.2908925196
90	77386.8353403859
95	92792.02551943781
100	122325.66903148334
105	154077.83073823436
110	198533.50153563503
115	123634.40934869224
120	161683.1285199541
125	182473.72520996002
130	242502.2275402847
135	175991.3286244524
140	182368.49024434018
145	188341.44493711414
150	362413.47391618876
155	300158.4366713686
160	261379.78394474197
165	263585.106900978
170	492047.0876857214
175	449492.74229958374
180	406583.80607200775
185	392515.9373834392
190	700301.2442999084
195	740395.7889885652
200	322773.30558768334
205	448927.3428429148
210	427443.48250616714
215	750379.9767957565
220	1034623.1468631465
225	935212.0298627472
230	629547.7679731698
235	944903.098969942
240	760149.4376028966
245	1062912.3018847792
250	952476.9168462824
255	845234.5945534884
260	1367948.428159483
265	845201.1117083317
270	1056837.0226766283
275	1379287.1331234842
280	859245.317727714
285	627859.6569807619
290	1078254.0634024988
295	1166531.2637250663
300	560636.907097633
305	978147.0722350499
310	1023447.9580149641
315	667746.0031516475
320	778314.448783395
325	1279895.162276192
330	2272972.332223162
335	2570042.4262264622
340	758552.7573030106
345	730490.932083349
350	2359568.205318931
355	2377566.564455557
360	728717.0039699911
365	2055057.6108951303
370	772956.2812417013
375	3419061.4025466116
380	3589788.12292592
385	1095567.6178620835
390	2365260.209884316
395	825673.9583413056
400	3150370.404879401
405	1389260.051303211
410	954629.0203256969
415	1020716.6489952047
420	974733.5497273088
425	2648101.9172599833
430	4423974.518595806
435	719117.9686991558
440	2963121.3896160247
445	3283308.183831667
450	4531260.312681231
455	3217910.741070827
460	1914259.2441806307
465	850623.4831921818
470	1971032.3495128131
475	5161052.709631244
480	4433887.88273576
485	4992056.032517264
490	5486004.986979869
495	5257743.443184348
500	2868806.2521303175
