s	score
50	23412.040662872598
55	29727.22207001522
60	28423.9404024143
65	55453.37861663615
70	53399.55999818725
75	57389.76201379476
80	54341.52343282253
85	79658.23829334918
90	90865.94926593789
95	96584.78712509543
100	121770.15115372076
105	164710.8249994517
110	182071.02993886752
115	141555.5647228324
120	159358.59256720362
125	169031.24711129596
130	205690.6283718342
135	169996.78053127948
140	208347.99800334056
145	233423.29636520857
150	370708.44096405467
155	299677.5905135384
160	285698.56790680625
165	247308.53357698757
170	474217.3196436418
175	471199.5172153724
180	417329.0749516501
185	366995.15403885103
190	701283.0270981895
195	749609.8926401652
200	372946.9514689723
205	463435.2629548166
210	400353.0915179749
215	823171.9243025724
220	1054337.528857339
225	916922.7694413526
230	693947.8713448151
235	1029106.6723678357
240	795359.051289416
245	1098861.566679352
250	947608.5768797157
255	842839.9632385735
260	1409716.8339492865
265	784099.1776835377
270	956399.7796533622
275	1513626.5536782842
280	1001013.4354288158
285	614416.365374491
290	1069436.0730010935
295	1148289.5592018592
300	674803.0294278472
305	1121093.7751628987
310	1088305.508545739
315	577713.9738728846
320	726935.2112121135
325	1253105.4690950797
330	2251040.2165998723
335	2537343.295181005
340	815351.4043036904
345	637733.0613979489
350	2359568.205318931
355	2680245.2991067814
360	809718.3750415944
365	2064265.1610197756
370	747618.8773459375
375	3379350.47204755
380	3589788.12292592
385	1074361.851647293
390	2480735.639932639
395	981608.5559687222
400	3138931.6809691796
405	1311395.5052309732
410	824221.5654003479
415	1102285.6323258504
420	643454.4064656019
425	2648101.9172599833
430	4428950.7087884825
435	928185.2330219437
440	2931446.8150822725
445	3356002.3260063455
450	4325294.896315626
455	3207841.377597247
460	1929840.2370584982
465	788149.335088218
470	1841748.974986548
475	5140504.236988333
480	4557636.298170357
485	5102998.049785341
490	5533689.13569962
495	5460925.652278375
500	2943993.4949996066
