s	score
50	8074.834549388613
55	13626.486707878887
60	21288.6024435612
65	37271.30263352758
70	24181.527040284283
75	29899.979665544925
80	33031.1961636269
85	72036.56271644283
90	65597.47287815285
95	81170.29244126203
100	81265.43575223109
105	97605.87857808564
110	149896.2196421244
115	100530.92148687389
120	109327.29393888792
125	135943.50038159237
130	212529.97359196184
135	124214.67810609179
140	174084.41532486473
145	156046.5421468864
150	353175.90273828135
155	290794.3872223121
160	266408.63349373644
165	256712.28869689896
170	524870.0209766224
175	531731.8239375936
180	419087.6168535644
185	394056.33026256535
190	774883.3595425831
195	866482.3165391202
200	427900.0197768166
205	375031.3895222639
210	363853.02670446486
215	966111.763328136
220	1270171.7237365977
225	1101485.5134844035
230	719493.0178764766
235	1309111.525754013
240	741606.5619147393
245	1254077.8069043404
250	1186373.0805497062
255	1155082.1478271578
260	1913262.553878845
265	1242570.439049634
270	1435415.9745282899
275	1585488.0468574967
280	1109815.4765563507
285	710379.2090426071
290	1305693.7363179775
295	1434934.699074491
300	961262.2352552919
305	1729698.6751246587
310	1672196.4800525086
315	1034227.1980604648
320	1022959.390400225
325	1698704.318273195
330	2969242.272020254
335	3889645.062483337
340	1428490.1664834798
345	1249426.043579611
350	2157326.7184995417
355	4076017.9414933887
360	1195355.0
365	3294246.12341701
370	1199917.0350570076
375	5070534.116433889
380	4062878.4196931124
385	1469004.0992509178
390	3638972.6467773844
395	1788334.804538848
400	5684780.028598117
405	2232146.2992053186
410	1755971.3569161657
415	1821828.6932365512
420	1701064.5053721508
425	2423152.784851174
430	6859066.9557222575
435	2324882.2506823866
440	5090949.366626621
445	6515982.8014745405
450	7478501.02348726
455	7561105.3591677975
460	3882057.0360056534
465	2077770.694915346
470	4540819.327485294
475	8846366.751195092
480	8203842.734541479
485	5592701.6115502715
490	10276922.103978895
495	10401324.573903652
500	5422744.998762159
