s	score
50	22674.220780436975
55	30344.595597898482
60	33526.97846511075
65	55703.50505129816
70	56617.9482496496
75	59657.18189790731
80	65109.29401398851
85	100764.41949914662
90	94338.57495743722
95	110091.34494591298
100	141249.45032105435
105	196332.28211376755
110	209092.38912021642
115	183633.92091059865
120	191994.66008459716
125	237966.22253378737
130	285412.7581854042
135	262949.5536619144
140	273624.42370519484
145	264606.1616818475
150	455375.17967934965
155	418820.5378918279
160	395737.49902681704
165	407429.0198599015
170	709714.4038217063
175	729739.2737649523
180	581653.2074561267
185	638209.7317841527
190	1020964.1564599612
195	1012588.470445916
200	584579.3691852287
205	764465.4371847037
210	709124.8773777437
215	1168983.4125324448
220	1448581.0406739416
225	1348950.582279425
230	1091811.5308399156
235	1661401.3014849843
240	1310428.968048631
245	1680321.694825131
250	1543748.818817362
255	1474958.6425551057
260	2248223.146020875
265	1496063.387641045
270	1614990.3174446588
275	2160690.0811719852
280	1732925.3710128432
285	1086694.4610031836
290	1860311.1384324937
295	2139094.300920135
300	1247605.3908504082
305	2040219.4233081893
310	2022377.5732473894
315	1268540.1945007497
320	1756205.7381184017
325	2211395.4017016045
330	2908297.446778097
335	4176198.832724323
340	1785627.4191443187
345	1647053.3871429304
350	2428207.987462153
355	4133170.1559907985
360	1423713.4569427937
365	4000685.337097133
370	1716511.1677906439
375	5382060.909101736
380	5579072.554538075
385	1890901.4374990568
390	4597711.945254618
395	1548179.304220929
400	5792176.600141953
405	2535652.5481956317
410	2088725.225101186
415	2256912.862407408
420	2296962.2783737653
425	1226025.9526062245
430	7271192.407906698
435	1993285.8941075162
440	5090894.451914123
445	6500873.16033008
450	7487243.658921486
455	7538106.977538327
460	3878075.2823925433
465	2077897.362439252
470	4541414.122938581
475	7246150.207329545
480	6779366.226911776
485	4778055.095792848
490	9971284.356411064
495	10180268.835580768
500	5478724.922899487
