s	score
50	22702.51157911829
55	30959.713968316955
60	35280.84643259002
65	57300.39266881161
70	57353.87847390969
75	66550.36692611093
80	65898.20596951028
85	109619.56805242391
90	102341.92926166674
95	118279.87653020272
100	157450.05215305582
105	219693.62779789494
110	217483.45117732522
115	186354.60134646526
120	196502.70456154033
125	242626.09479402663
130	300951.0837594708
135	296884.44998012274
140	292323.7989900925
145	318438.49109678937
150	511793.9341688215
155	430103.22912645055
160	423784.5045208708
165	464403.05753730785
170	678800.7872711994
175	740207.2414236435
180	659821.6979866606
185	643645.860622905
190	1065549.7996790202
195	1104465.476827592
200	593156.6589021825
205	810385.5303347907
210	711033.2471340564
215	1389354.0726999724
220	1617162.624791644
225	1458787.278838145
230	1261633.025245059
235	1693601.5761459363
240	1279758.3486893142
245	1733609.8889069594
250	1651937.4694025195
255	1566933.0233854924
260	2299082.997022943
265	1683937.5251083395
270	1927246.7622969302
275	2464874.83122957
280	2026053.9082413379
285	1401500.4357259402
290	2196553.7214272725
295	2480245.731271803
300	1509676.0098709923
305	2588940.134800339
310	2407498.658326729
315	1540227.9737113593
320	2041706.8906334229
325	2861901.9851616165
330	3895362.43108443
335	4342458.992100558
340	2295137.035410304
345	2036270.3592283614
350	4310097.995633974
355	4808981.6437695
360	1902572.631005187
365	4275336.521594762
370	2153231.1572109484
375	6275020.685551244
380	5917288.505650202
385	2817704.215357602
390	4971195.771122678
395	2740352.9804472267
400	6251557.300185291
405	3434805.3000053726
410	2958847.7611347293
415	3070332.020436878
420	2886665.757233421
425	3073900.346525892
430	7894792.509691056
435	2855161.8880021498
440	6206042.859141725
445	7992973.974216355
450	9136284.42899716
455	8135334.080340647
460	5535468.237301701
465	3157974.4118659357
470	5837352.356929381
475	10253568.46517348
480	10184652.124087106
485	9347836.698311754
490	10565477.920082366
495	11628120.427279852
500	7320160.401638273
